Haltestelle,latitude,longitude
A Bad Bramstedt,9.889723,53.921045
"A Bad Bramstedt, Theater des Kurhauses (AST-Halt)",9.894876,53.904525
A Barmstedt,9.773736,53.792547
A Barmstedt Brunnenstraße,9.761342,53.792121
A Bokholt (SEV),9.717669,53.784116
A Bönningstedt,9.909816,53.664783
A Boostedt,10.017094,54.015547
A Burgwedel,9.908657,53.646998
A dodenhof,9.937490,53.844567
A Eidelstedt Zentrum,9.901147,53.610209
A Ellerau,9.921488,53.751040
A Ellerau (Bahnstraße),9.923069,53.750035
A Großenaspe (SEV),9.970778,53.977619
A Hasloh,9.919800,53.694582
A Haslohfurth (SEV),9.995472,53.742209
A Henstedt-Ulzburg,9.981979,53.795296
A Holstentherme (SEV),9.948538,53.840616
A Kaltenkirchen,9.967860,53.833948
A Kaltenkirchen Süd,9.972690,53.823414
A Langenmoor,9.666136,53.771017
A Lentföhrden (SEV),9.888486,53.873953
A Meeschensee,9.979121,53.754087
A Nützen,9.918040,53.863190
A Quickborn,9.904452,53.732149
A Quickborner Straße,9.990215,53.733932
A S Eidelstedt,9.905438,53.596097
A Schnelsen,9.905783,53.633347
A Schnelsen (Holsteiner Ch.),9.910767,53.632456
A Sparrieshoop,9.685981,53.781615
A Tanneneck,9.942861,53.755636
A Ulzburg Süd,9.973481,53.773712
A Voßloch (SEV),9.735884,53.788066
"Aasbüttel, Feuerwehr",9.442172,54.067456
"Aasbüttel, Forstweg",9.433186,54.062646
Achter de Höf,9.761453,53.579471
Achterdeich,10.246634,53.408694
Achterdiekbrücke,10.203362,53.427091
Achterkamp,10.008087,53.438030
Achtern Born (Kindermuseum),9.851712,53.587093
Achtern Brack (Ost),9.849463,53.508101
Achtern Brack (West),9.843566,53.507163
Achtern Sand,9.770828,53.584389
Achtern Styg,9.866817,53.581369
Achterschlag,10.237550,53.468184
Adebarweg,9.745385,53.583571
Adendorf,10.426180,53.290942
"Adendorf, An der Bünte",10.459190,53.280837
"Adendorf, Danziger Weg",10.438228,53.281712
"Adendorf, Dorfstraße",10.426518,53.285762
"Adendorf, DRK-Heim",10.446572,53.280155
"Adendorf, Elba",10.427085,53.296493
"Adendorf, Friedhof",10.448227,53.285653
"Adendorf, Grüner Weg",10.432353,53.272841
"Adendorf, Heinrich-Hille-Straße",10.442829,53.286113
"Adendorf, Im Gutspark",10.446865,53.286172
"Adendorf, Kastanienallee",10.454751,53.283911
"Adendorf, Katzenweg",10.457224,53.286963
"Adendorf, Kirchweg",10.436603,53.278865
"Adendorf, Königsberger Weg",10.439938,53.283507
"Adendorf, Kornblumenweg",10.432833,53.287627
"Adendorf, Kreuzkamp",10.436615,53.286377
"Adendorf, Lindenweg",10.437529,53.272959
"Adendorf, Moorchaussee",10.447874,53.288964
"Adendorf, Neue Straße",10.430897,53.274566
"Adendorf, Rauher Weg",10.434950,53.276513
"Adendorf, Robert-Koch-Straße",10.451862,53.284494
"Adendorf, Robert-Schumann-Straße",10.433825,53.289916
"Adendorf, Röntgenstraße",10.448856,53.282086
"Adendorf, Röthenweg",10.432762,53.285956
"Adendorf, Sportzentrum",10.454868,53.289112
"Adendorf, Steinweg",10.442283,53.275247
"Adendorf, Teichaue",10.449039,53.286595
"Adendorf, Virchowstraße",10.446971,53.281310
"Adendorf, Von-Stauffenberg-Straße",10.440431,53.282126
"Adendorf, Weinbergsweg",10.432742,53.285363
"Adendorf, Weinbergsweg (Schule)",10.432623,53.282238
Adolf-Köster-Damm,10.146951,53.485407
Aebtissinwisch,9.288429,53.967569
Afrikastraße,9.989839,53.527516
Agathe-Lasch-Weg,9.893614,53.552553
Agathenburg,9.531541,53.564003
"Agathenburg, Buchenweg",9.524907,53.564553
"Agathenburg, Feldstraße",9.529668,53.562663
"Agathenburg, Hanfberg/Lieth",9.535824,53.557775
"Agathenburg, Hauptstraße 13",9.527191,53.564939
"Agathenburg, Schulstraße",9.530579,53.561887
"Agethorst, Burenbrook 6",9.448384,54.031693
"Agethorst, Dorfstraße (Nord)",9.434671,54.024979
"Agethorst, Dorfstraße 17",9.435819,54.019512
"Ahlerstedt, Grundschule",9.448509,53.400597
"Ahlerstedt, Grundschule (Kehre)",9.448338,53.400086
"Ahlerstedt, Holzhäuserstraße",9.455730,53.409438
"Ahlerstedt, In der Heide",9.472063,53.409680
"Ahlerstedt, Kakerbecker Straße",9.452398,53.405848
"Ahlerstedt, Paradies",9.475931,53.404597
"Ahlerstedt, Schulzentrum",9.446999,53.401447
"Ahlerstedt, Stader Straße",9.451071,53.405457
"Ahndorf, Am Rundling",10.737240,53.158835
"Ahndorf, Moorberg",10.737518,53.159046
"Ahrenlohe, Brookkamp",9.734412,53.705540
"Ahrenlohe, Hörnweg",9.741468,53.708965
"Ahrenlohe, Prisdorfer Weg",9.751138,53.714493
Ahrensburg,10.236250,53.669123
"Ahrensburg, Ahrensburger Kamp",10.258234,53.648894
"Ahrensburg, Ahrensburger Redder",10.254140,53.649018
"Ahrensburg, Am Aalfang",10.249891,53.663861
"Ahrensburg, Am Alten Markt",10.239952,53.677281
"Ahrensburg, Am Birkenhain",10.237163,53.652384
"Ahrensburg, Am Golfplatz",10.206209,53.676422
"Ahrensburg, Am Haidschlag",10.206641,53.673021
"Ahrensburg, Am Hopfenbach",10.254998,53.678427
"Ahrensburg, Am Kratt",10.208751,53.639951
"Ahrensburg, Am Neuen Teich",10.221164,53.667644
"Ahrensburg, Am Obsthain",10.236320,53.688137
"Ahrensburg, Am Weinberg",10.247108,53.679777
"Ahrensburg, An der Reitbahn",10.235755,53.671430
"Ahrensburg, An der Strusbek (Mitte)",10.265858,53.689284
"Ahrensburg, An der Strusbek (Süd)",10.266590,53.685943
"Ahrensburg, Auestieg",10.235705,53.686778
"Ahrensburg, Bahnhofstraße",10.233358,53.668642
"Ahrensburg, Beimoorweg",10.253103,53.680343
"Ahrensburg, Berufsschule",10.231170,53.678702
"Ahrensburg, Bornkampsweg (Ost)",10.213063,53.660044
"Ahrensburg, Brombeerweg",10.213050,53.640106
"Ahrensburg, Brückenstraße",10.228014,53.667484
"Ahrensburg, Burgweg",10.234862,53.654870
"Ahrensburg, Dänenweg",10.216449,53.640008
"Ahrensburg, Doktor-Flögel-Straße",10.270769,53.679968
"Ahrensburg, Ella-Hensel-Weg",10.228375,53.671057
"Ahrensburg, Ellenbogen",10.248174,53.681536
"Ahrensburg, Elsterweg",10.237791,53.654705
"Ahrensburg, Ewige Weide",10.255910,53.688724
"Ahrensburg, Finkenweg",10.242773,53.657969
"Ahrensburg, Freizeitbad",10.233863,53.681756
"Ahrensburg, Friedhof",10.208654,53.660322
"Ahrensburg, Fritz-Reuter-Straße",10.228965,53.674196
"Ahrensburg, Grauer Esel",10.233686,53.674174
"Ahrensburg, Gustav-Delle-Straße",10.224769,53.684028
