,Haltestelle,latitude,longitude,index
0,A Bad Bramstedt,9.889723,53.921045,0.0
1,"A Bad Bramstedt, Theater des Kurhauses (AST-Halt)",9.894876,53.904525,0.0
2,A Barmstedt,9.773736,53.792547,0.0
3,A Barmstedt Brunnenstraße,9.761342,53.792121,0.0
4,A Bokholt (SEV),9.717669,53.784116,0.0
5,A Bönningstedt,9.909816,53.664783,0.0
6,A Boostedt,10.017094,54.015547,0.0
7,A Burgwedel,9.908657,53.646998,0.0
8,A dodenhof,9.93749,53.844567,0.0
9,A Eidelstedt Zentrum,9.901147,53.610209,0.125
10,A Ellerau,9.921488,53.75104,0.0
11,A Ellerau (Bahnstraße),9.923069,53.750035,0.0
12,A Großenaspe (SEV),9.970778,53.977619,0.0
13,A Hasloh,9.9198,53.694582,0.0
14,A Haslohfurth (SEV),9.995472,53.742209,0.0
15,A Henstedt-Ulzburg,9.981979,53.795296,0.0
16,A Holstentherme (SEV),9.948538,53.840616,0.0
17,A Kaltenkirchen,9.96786,53.833948,0.0
18,A Kaltenkirchen Süd,9.97269,53.823414,0.0
19,A Langenmoor,9.666136,53.771017,0.0
20,A Lentföhrden (SEV),9.888486,53.873953,0.0
21,A Meeschensee,9.979121,53.754087,0.0
22,A Nützen,9.91804,53.86319,0.0
23,A Quickborn,9.904452,53.732149,0.0
24,A Quickborner Straße,9.990215,53.733932,0.0
25,A S Eidelstedt,9.905438,53.596097,0.0
26,A Schnelsen,9.905783,53.633347,0.0
27,A Schnelsen (Holsteiner Ch.),9.910767,53.632456,0.0
28,A Sparrieshoop,9.685981,53.781615,0.0
29,A Tanneneck,9.942861,53.755636,0.0
30,A Ulzburg Süd,9.973481,53.773712,0.0
31,A Voßloch (SEV),9.735884,53.788066,0.0
32,"Aasbüttel, Feuerwehr",9.442172,54.067456,0.0
33,"Aasbüttel, Forstweg",9.433186,54.062646,0.0
34,Achter de Höf,9.761453,53.579471,0.0
35,Achterdeich,10.246634,53.408694,0.0
36,Achterdiekbrücke,10.203362,53.427091,0.0
37,Achterkamp,10.008087,53.43803,0.0
38,Achtern Born (Kindermuseum),9.851712,53.587093,0.0
39,Achtern Brack (Ost),9.849463,53.508101,0.0
